event_date,population,model_id,rows,users,positives,prevalence,average_precision,roc_auc,log_loss,brier,ece20_equal_width,user_gauc_event_weighted,user_gauc_user_equal,user_gauc_eligible_users,user_gauc_eligible_rows,user_gauc_eligible_user_fraction,user_gauc_eligible_row_fraction
2022-04-30,primary_warm_user,BL0,2160,468,161,0.07453703703703704,0.07453703703703704,0.5,0.44126332046372496,0.12897968682828476,0.24494574844546366,0.5,0.5,89,935,0.19017094017094016,0.43287037037037035
2022-04-30,primary_warm_user,ADAM_BL1,2160,468,161,0.07453703703703704,0.18720064422746752,0.7208293587787683,0.5221255545218719,0.17213124781098899,0.31121637106657946,0.5753368066870741,0.6276930858322685,89,935,0.19017094017094016,0.43287037037037035
2022-04-30,primary_warm_user,ADAM_BL2,2160,468,161,0.07453703703703704,0.21127839518559305,0.7541814385453596,0.5171436943230175,0.1722794538585909,0.3035611222357654,0.5835209084631072,0.6186896866892461,89,935,0.19017094017094016,0.43287037037037035
2022-04-30,all_target_rows,BL0,2170,472,162,0.07465437788018434,0.07465437788018434,0.5,0.44135204771009895,0.12902205091259292,0.24482840760231636,0.5,0.5,90,938,0.1906779661016949,0.432258064516129
2022-04-30,all_target_rows,ADAM_BL1,2170,472,162,0.07465437788018434,0.18658115681673626,0.7196768481629039,0.5226030010428545,0.17233796469301327,0.31136272603803233,0.5734967102904204,0.6207187182119098,90,938,0.1906779661016949,0.432258064516129
2022-04-30,all_target_rows,ADAM_BL2,2170,472,162,0.07465437788018434,0.20774837538977248,0.7529019723574837,0.5191734757459687,0.17318890197190512,0.30438762133304376,0.5816546369008585,0.6118153568371434,90,938,0.1906779661016949,0.432258064516129
2022-05-01,primary_warm_user,BL0,2148,484,176,0.08193668528864059,0.08193668528864059,0.5,0.4468585624603822,0.1316512146098623,0.2375461001938601,0.5,0.5,107,1004,0.22107438016528927,0.46741154562383613
2022-05-01,primary_warm_user,ADAM_BL1,2148,484,176,0.08193668528864059,0.20328727505319602,0.7140794993546007,0.5115624629771587,0.16702142168113984,0.2952427915645589,0.5697378835058963,0.5965385604131029,107,1004,0.22107438016528927,0.46741154562383613
2022-05-01,primary_warm_user,ADAM_BL2,2148,484,176,0.08193668528864059,0.24088507168054035,0.7431167020099576,0.5005881874367428,0.1641656784442296,0.28445202871212866,0.612690251358907,0.6582412145295794,107,1004,0.22107438016528927,0.46741154562383613
2022-05-01,all_target_rows,BL0,2152,486,178,0.08271375464684015,0.08271375464684015,0.5,0.44744614324253246,0.13193176340192042,0.23676903083566053,0.5,0.5,109,1008,0.2242798353909465,0.4684014869888476
2022-05-01,all_target_rows,ADAM_BL1,2152,486,178,0.08271375464684015,0.20294928844190235,0.7113571940849015,0.5121390017672134,0.16726808451656386,0.29445104445774506,0.5694611458729364,0.5947672106807526,109,1008,0.2242798353909465,0.4684014869888476
2022-05-01,all_target_rows,ADAM_BL2,2152,486,178,0.08271375464684015,0.24145079386027377,0.743929510604146,0.5008157533847103,0.16426272228908512,0.2839107984827253,0.6122430678217683,0.6553377060061009,109,1008,0.2242798353909465,0.4684014869888476
2022-05-02,primary_warm_user,BL0,2915,575,265,0.09090909090909091,0.09090909090909091,0.5,0.4536430445102835,0.13489056195011198,0.22857369457340967,0.5,0.5,157,1407,0.27304347826086955,0.48267581475128646
2022-05-02,primary_warm_user,ADAM_BL1,2915,575,265,0.09090909090909091,0.18931308497995997,0.7007362050551799,0.5271398204645554,0.1741139609187402,0.29426874168658385,0.5366240128582594,0.5370077840448565,157,1407,0.27304347826086955,0.48267581475128646
2022-05-02,primary_warm_user,ADAM_BL2,2915,575,265,0.09090909090909091,0.18457253002715573,0.7243787824848702,0.5206200686054692,0.173939266313775,0.2810776808241836,0.5819276247318987,0.598464031556174,157,1407,0.27304347826086955,0.48267581475128646
2022-05-02,all_target_rows,BL0,2954,582,271,0.09174001354096141,0.09174001354096141,0.5,0.4542713464305548,0.1351905536280816,0.22774277194153925,0.5,0.5,159,1427,0.27319587628865977,0.483073798239675
2022-05-02,all_target_rows,ADAM_BL1,2954,582,271,0.09174001354096141,0.18873354333879425,0.6986905388994256,0.5274594600353187,0.1742337578912703,0.29343736944039384,0.5393809760043713,0.5400363374251448,159,1427,0.27319587628865977,0.483073798239675
2022-05-02,all_target_rows,ADAM_BL2,2954,582,271,0.09174001354096141,0.18826799575684397,0.7266113138209281,0.520571077741247,0.17385760352393156,0.28079672081937634,0.5834550454211375,0.6003383801840806,159,1427,0.27319587628865977,0.483073798239675
2022-05-03,primary_warm_user,BL0,3981,627,346,0.0869128359708616,0.0869128359708616,0.5,0.45062127743441144,0.1334477763302101,0.23256994951163923,0.5,0.5,185,1987,0.29505582137161085,0.49912082391358953
2022-05-03,primary_warm_user,ADAM_BL1,3981,627,346,0.0869128359708616,0.16880815469679392,0.6996111981299344,0.5263362324212405,0.17375159041322435,0.2965902220469111,0.5671540552426197,0.5807669710884971,185,1987,0.29505582137161085,0.49912082391358953
2022-05-03,primary_warm_user,ADAM_BL2,3981,627,346,0.0869128359708616,0.20366596385033436,0.7417608192667626,0.5088804006870968,0.16921156345146207,0.28025892780961054,0.6326696811760743,0.6219233968219925,185,1987,0.29505582137161085,0.49912082391358953
2022-05-03,all_target_rows,BL0,4029,636,348,0.08637379002233805,0.08637379002233805,0.5,0.4502136779882278,0.13325316218396127,0.2331089954601627,0.5,0.5,187,2014,0.2940251572327044,0.4998758997269794
